"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2015-2019",1,"Ciutat Vella",1,"el Raval",1623
"2015-2019",1,"Ciutat Vella",2,"el Barri Gòtic",625
"2015-2019",1,"Ciutat Vella",3,"la Barceloneta",860
"2015-2019",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",825
"2015-2019",2,"Eixample",5,"el Fort Pienc",1566
"2015-2019",2,"Eixample",6,"la Sagrada Família",2717
"2015-2019",2,"Eixample",7,"la Dreta de l'Eixample",2576
"2015-2019",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",2229
"2015-2019",2,"Eixample",9,"la Nova Esquerra de l'Eixample",2738
"2015-2019",2,"Eixample",10,"Sant Antoni",1855
"2015-2019",3,"Sants-Montjuïc",11,"el Poble Sec",1748
"2015-2019",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",77
"2015-2019",3,"Sants-Montjuïc",13,"la Marina de Port",1322
"2015-2019",3,"Sants-Montjuïc",14,"la Font de la Guatlla",623
"2015-2019",3,"Sants-Montjuïc",15,"Hostafrancs",681
"2015-2019",3,"Sants-Montjuïc",16,"la Bordeta",859
"2015-2019",3,"Sants-Montjuïc",17,"Sants - Badal",1069
"2015-2019",3,"Sants-Montjuïc",18,"Sants",1895
"2015-2019",4,"Les Corts",19,"les Corts",2236
"2015-2019",4,"Les Corts",20,"la Maternitat i Sant Ramon",1061
"2015-2019",4,"Les Corts",21,"Pedralbes",521
"2015-2019",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",232
"2015-2019",5,"Sarrià-Sant Gervasi",23,"Sarrià",1255
"2015-2019",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",713
"2015-2019",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",1341
"2015-2019",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",2291
"2015-2019",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",1213
"2015-2019",6,"Gràcia",28,"Vallcarca i els Penitents",735
"2015-2019",6,"Gràcia",29,"el Coll",281
"2015-2019",6,"Gràcia",30,"la Salut",783
"2015-2019",6,"Gràcia",31,"la Vila de Gràcia",2436
"2015-2019",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",1734
"2015-2019",7,"Horta-Guinardó",33,"el Baix Guinardó",1547
"2015-2019",7,"Horta-Guinardó",34,"Can Baró",480
"2015-2019",7,"Horta-Guinardó",35,"el Guinardó",1697
"2015-2019",7,"Horta-Guinardó",36,"la Font d'en Fargues",466
"2015-2019",7,"Horta-Guinardó",37,"el Carmel",1382
"2015-2019",7,"Horta-Guinardó",38,"la Teixonera",531
"2015-2019",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",476
"2015-2019",7,"Horta-Guinardó",40,"Montbau",568
"2015-2019",7,"Horta-Guinardó",41,"la Vall d'Hebron",314
"2015-2019",7,"Horta-Guinardó",42,"la Clota",25
"2015-2019",7,"Horta-Guinardó",43,"Horta",1474
"2015-2019",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",1331
"2015-2019",8,"Nou Barris",45,"Porta",1296
"2015-2019",8,"Nou Barris",46,"el Turó de la Peira",909
"2015-2019",8,"Nou Barris",47,"Can Peguera",150
"2015-2019",8,"Nou Barris",48,"la Guineueta",813
"2015-2019",8,"Nou Barris",49,"Canyelles",349
"2015-2019",8,"Nou Barris",50,"les Roquetes",586
"2015-2019",8,"Nou Barris",51,"Verdun",580
"2015-2019",8,"Nou Barris",52,"la Prosperitat",1276
"2015-2019",8,"Nou Barris",53,"la Trinitat Nova",479
"2015-2019",8,"Nou Barris",54,"Torre Baró",97
"2015-2019",8,"Nou Barris",55,"Ciutat Meridiana",316
"2015-2019",8,"Nou Barris",56,"Vallbona",102
"2015-2019",9,"Sant Andreu",57,"la Trinitat Vella",303
"2015-2019",9,"Sant Andreu",58,"Baró de Viver",117
"2015-2019",9,"Sant Andreu",59,"el Bon Pastor",555
"2015-2019",9,"Sant Andreu",60,"Sant Andreu",2380
"2015-2019",9,"Sant Andreu",61,"la Sagrera",1306
"2015-2019",9,"Sant Andreu",62,"el Congrés i els Indians",791
"2015-2019",9,"Sant Andreu",63,"Navas",1039
"2015-2019",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",1890
"2015-2019",10,"Sant Martí",65,"el Clot",1057
"2015-2019",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",611
"2015-2019",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",190
"2015-2019",10,"Sant Martí",68,"el Poblenou",1437
"2015-2019",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",380
"2015-2019",10,"Sant Martí",70,"el Besòs i el Maresme",977
"2015-2019",10,"Sant Martí",71,"Provençals del Poblenou",801
"2015-2019",10,"Sant Martí",72,"Sant Martí de Provençals",1336
"2015-2019",10,"Sant Martí",73,"la Verneda i la Pau",1565
